n_requested,n_scored,n_excluded,n_positive,n_negative,auroc,auprc,fpr,true_positive_rate,fpr_n,true_positive_rate_n,lead_to_alert_n,lead_to_alert_median_s,lead_to_alert_q25_s,lead_to_alert_q75_s,lead_to_alert_iqr_s,lead_to_event_n,lead_to_event_median_s,lead_to_event_q25_s,lead_to_event_q75_s,lead_to_event_iqr_s,hit_alert_rate,hit_alert_n,hit_event_rate,hit_event_n,hit_early_1000ms_rate,hit_early_1000ms_n,hit_early_1500ms_rate,hit_early_1500ms_n,hit_early_500ms_rate,hit_early_500ms_n,model,split,auroc_ci_low,auroc_ci_high,fpr_count,fpr_ci_low,fpr_ci_high,tpr_count,tpr_ci_low,tpr_ci_high
20,20,0,10,10,0.6,0.6317759528053645,0.1,0.2,10,10,10,-0.483018202502846,-1.199833333333335,0.1986666666666672,1.3985000000000023,10,1.1829817974971544,0.16658333333333353,1.7659999999999993,1.5994166666666658,0.1,10,0.2,10,0.1,10,0.1,10,0.1,10,v0_original,validation,,,1,,,2,,
20,20,0,10,10,0.63,0.6722276334776334,0.1,0.2,10,10,10,-0.866833333333334,-1.222120915032681,-0.1371757679180894,1.0849451471145917,10,0.6996666666666673,0.0796290849673209,1.491324232081909,1.411695147114588,0.1,10,0.2,10,0.1,10,0.1,10,0.1,10,raw_flow_no_blob,validation,,,1,,,2,,
20,20,0,10,10,0.65,0.6879467672850025,0.1,0.3,10,10,10,-0.6165182025028457,-1.222120915032681,-0.11233333333333317,1.1097875816993479,10,0.8496484641638222,0.0796290849673209,1.5830000000000002,1.5033709150326793,0.2,10,0.3,10,0.2,10,0.2,10,0.2,10,affine_residual_no_blob,validation,,,1,,,3,,
20,20,0,10,10,0.61,0.5788943001443002,0.1,0.1,10,10,10,0.1973333333333347,-1.199833333333335,3.610228100113765,4.8100614334471,10,1.788333333333333,0.08325000000000049,5.242728100113766,5.159478100113765,0.1,10,0.1,10,0.1,10,0.1,10,0.1,10,frame_difference,validation,,,1,,,1,,
80,80,0,40,40,0.54625,0.5235462082080522,0.2,0.175,40,40,40,0.343964052287582,-0.8750833333333343,2.428609103116433,3.3036924364497673,40,1.1996666666666673,0.4460713058419259,4.6553907103825125,4.209319404540587,0.15,40,0.175,40,0.1,40,0.1,40,0.125,40,v0_original,exploratory,0.420609375,0.6731406249999999,8,0.10499989725437706,0.34757306346399497,7,0.08745413746035922,0.31949990331787703
80,80,0,40,40,0.5587500000000001,0.5323386658681638,0.175,0.15,40,40,40,-0.26883333333333326,-0.9230042372881373,2.428609103116433,3.3516133404045703,40,1.1166666666666671,0.3186451890034361,4.67205737704918,4.353412188045744,0.125,40,0.15,40,0.075,40,0.075,40,0.1,40,raw_flow_no_blob,exploratory,0.43121875000000004,0.685,7,0.08745413746035922,0.31949990331787703,6,0.07061187717320358,0.290723243664897
80,80,0,40,40,0.548125,0.5289766562539517,0.175,0.15,40,40,40,-0.4158333333333335,-0.9931793785310727,2.4158360655737705,3.4090154441048433,40,1.116666666666669,0.16641666666666488,3.9481106557377066,3.7816939890710417,0.15,40,0.15,40,0.075,40,0.075,40,0.1,40,affine_residual_no_blob,exploratory,0.419375,0.675,7,0.08745413746035922,0.31949990331787703,6,0.07061187717320358,0.290723243664897
80,80,0,40,40,0.6337499999999999,0.6070807522878152,0.2,0.275,40,40,40,-0.4659999999999993,-1.030549488054608,1.067975409836066,2.098524897890674,40,0.7618333333333336,0.2497499999999988,3.0750833333333336,2.825333333333335,0.225,40,0.275,40,0.25,40,0.25,40,0.25,40,frame_difference,exploratory,0.510609375,0.750015625,8,0.10499989725437706,0.34757306346399497,11,0.16108016247667345,0.4283495580621056
100,100,0,50,50,0.4904,0.5379735306318573,0.2,0.18,50,50,50,-0.11598039215686207,-1.0496505190311423,2.732135245901639,3.7817857649327813,50,2.062666666666667,0.12483333333333402,4.575295751633986,4.450462418300652,0.14,50,0.18,50,0.12,50,0.1,50,0.12,50,v0_original,confirmation,0.37875000000000003,0.6040099999999999,10,0.1124375001577611,0.3303710593222541,9,0.09770192670234176,0.3079605367430077
100,100,0,50,50,0.48719999999999997,0.5299361708136039,0.2,0.18,50,50,50,-0.2610980392156854,-1.0923333333333316,2.707008155600635,3.7993414889339667,50,1.896,0.12483333333333402,4.417760164600956,4.292926831267622,0.14,50,0.18,50,0.12,50,0.1,50,0.12,50,raw_flow_no_blob,confirmation,0.37599,0.59881,10,0.1124375001577611,0.3303710593222541,9,0.09770192670234176,0.3079605367430077
100,100,0,50,50,0.48760000000000003,0.5282490835684504,0.2,0.16,50,50,50,-0.04478431372548819,-1.0496505190311423,2.707008155600635,3.7566586746317774,50,2.3824999999999994,0.13949999999999996,4.588122909698996,4.448622909698996,0.12,50,0.16,50,0.1,50,0.1,50,0.1,50,affine_residual_no_blob,confirmation,0.37439,0.5996,10,0.1124375001577611,0.3303710593222541,8,0.08337420678033408,0.28514216063034986
100,100,0,50,50,0.5252,0.5478567097471545,0.2,0.18,50,50,50,-0.09299019607843029,-1.0471721311475415,2.7246666666666672,3.7718387978142087,50,1.3516912568306019,0.13400000000000123,4.867048494983276,4.733048494983275,0.16,50,0.18,50,0.12,50,0.12,50,0.12,50,frame_difference,confirmation,0.41076,0.6352099999999999,10,0.1124375001577611,0.3303710593222541,9,0.09770192670234176,0.3079605367430077
