split,group_type,subgroup,n_requested,n_scored,n_excluded,n_positive,n_negative,tp,fp,tn,fn,theta,auroc,average_precision,positive_fraction,auroc_ci_low,auroc_ci_high,fpr,fpr_ci_low,fpr_ci_high,tpr,tpr_ci_low,tpr_ci_high,hit_alert_n,hit_alert_count,hit_alert_rate,hit_early_1000ms_n,hit_early_1000ms_count,hit_early_1000ms_rate,hit_early_1500ms_n,hit_early_1500ms_count,hit_early_1500ms_rate,hit_early_500ms_n,hit_early_500ms_count,hit_early_500ms_rate
evaluation,all,All clips,80,80,0,40,40,7,8,32,33,6.7908898322413265,0.54625,0.5235462082080522,0.5,0.42560937499999996,0.6731406249999999,0.2,0.10499989725437706,0.34757306346399497,0.175,0.08745413746035922,0.31949990331787703,40,6,0.15,40,4,0.1,40,4,0.1,40,5,0.125
evaluation,scene,scene=Highway,23,23,0,11,12,4,1,11,7,6.7908898322413265,0.6287878787878788,0.667965367965368,0.4782608695652174,0.37859848484848485,0.8560606060606061,0.08333333333333333,0.014865094404917095,0.35387991114111683,0.36363636363636365,0.15166471095367573,0.646198825492151,11,4,0.36363636363636365,11,2,0.18181818181818182,11,2,0.18181818181818182,11,3,0.2727272727272727
evaluation,scene,scene=Industrial,7,7,0,2,5,0,0,5,2,6.7908898322413265,1.0,1.0,0.2857142857142857,1.0,1.0,0.0,0.0,0.43448246478317465,0.0,0.0,0.6576197724933468,2,0,0.0,2,0,0.0,2,0,0.0,2,0,0.0
evaluation,scene,scene=Nature,1,1,0,1,0,0,0,0,1,6.7908898322413265,,,1.0,,,,,,0.0,0.0,0.7934506856227624,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0
evaluation,scene,scene=Other,6,6,0,3,3,0,0,3,3,6.7908898322413265,0.11111111111111112,0.41111111111111115,0.5,0.0,0.4444444444444444,0.0,0.0,0.5614970317550454,0.0,0.0,0.5614970317550454,3,0,0.0,3,0,0.0,3,0,0.0,3,0,0.0
evaluation,scene,scene=Rural,7,7,0,3,4,0,1,3,3,6.7908898322413265,0.75,0.6388888888888888,0.42857142857142855,0.25,1.0,0.25,0.04558726080970055,0.699358157417598,0.0,0.0,0.5614970317550454,3,0,0.0,3,0,0.0,3,0,0.0,3,0,0.0
evaluation,scene,scene=Sub-urban,18,18,0,11,7,1,3,4,10,6.7908898322413265,0.4025974025974026,0.5611076089685715,0.6111111111111112,0.1038961038961039,0.7142857142857143,0.42857142857142855,0.1582198552514698,0.7495416354723428,0.09090909090909091,0.016232172885884855,0.37735843645159556,11,0,0.0,11,1,0.09090909090909091,11,1,0.09090909090909091,11,1,0.09090909090909091
evaluation,scene,scene=Urban,18,18,0,9,9,2,3,6,7,6.7908898322413265,0.4444444444444445,0.518082788671024,0.5,0.1728395061728395,0.7287037037037021,0.3333333333333333,0.1205838183869109,0.6457978644196036,0.2222222222222222,0.06322510711784673,0.5474110308930109,9,2,0.2222222222222222,9,1,0.1111111111111111,9,1,0.1111111111111111,9,1,0.1111111111111111
evaluation,light,light=Bright,7,7,0,5,2,2,0,2,3,6.7908898322413265,1.0,1.0,0.7142857142857143,1.0,1.0,0.0,0.0,0.6576197724933468,0.4,0.117620774232648,0.7692757187239869,5,2,0.4,5,1,0.2,5,1,0.2,5,1,0.2
evaluation,light,light=Dark,14,14,0,7,7,0,1,6,7,6.7908898322413265,0.653061224489796,0.592517006802721,0.5,0.30612244897959184,1.0,0.14285714285714285,0.02567962434474355,0.5131278292743188,0.0,0.0,0.3543304350666873,7,0,0.0,7,0,0.0,7,0,0.0,7,0,0.0
evaluation,light,light=Normal,37,37,0,17,20,3,7,13,14,6.7908898322413265,0.4852941176470588,0.45751046970300735,0.4594594594594595,0.29411764705882354,0.6764705882352942,0.35,0.18119182410108212,0.5671457233147637,0.17647058823529413,0.061911266376209945,0.4102945856883412,17,2,0.11764705882352941,17,2,0.11764705882352941,17,2,0.11764705882352941,17,2,0.11764705882352941
evaluation,light,light=Twilight,22,22,0,11,11,2,0,11,9,6.7908898322413265,0.49586776859504134,0.6262252851754682,0.5,0.2396694214876033,0.743801652892562,0.0,0.0,0.2588329669680316,0.18181818181818182,0.05136768974608516,0.47698056196084404,11,2,0.18181818181818182,11,1,0.09090909090909091,11,1,0.09090909090909091,11,2,0.18181818181818182
evaluation,scene_light,scene=Highway | light=Bright,3,3,0,1,2,1,0,2,0,6.7908898322413265,1.0,1.0,0.3333333333333333,1.0,1.0,0.0,0.0,0.6576197724933468,1.0,0.2065493143772375,1.0,1,1,1.0,1,1,1.0,1,1,1.0,1,1,1.0
evaluation,scene_light,scene=Highway | light=Dark,5,5,0,3,2,0,0,2,3,6.7908898322413265,0.8333333333333333,0.9166666666666665,0.6,0.3333333333333333,1.0,0.0,0.0,0.6576197724933468,0.0,0.0,0.5614970317550454,3,0,0.0,3,0,0.0,3,0,0.0,3,0,0.0
evaluation,scene_light,scene=Highway | light=Normal,7,7,0,3,4,1,1,3,2,6.7908898322413265,0.5833333333333334,0.6984126984126984,0.42857142857142855,0.0,1.0,0.25,0.04558726080970055,0.699358157417598,0.3333333333333333,0.06149194472039626,0.7923403991979521,3,1,0.3333333333333333,3,0,0.0,3,0,0.0,3,0,0.0
evaluation,scene_light,scene=Highway | light=Twilight,8,8,0,4,4,2,0,4,2,6.7908898322413265,0.6875,0.7928571428571428,0.5,0.25,1.0,0.0,0.0,0.48989083645459713,0.5,0.15003898915214958,0.8499610108478504,4,2,0.5,4,1,0.25,4,1,0.25,4,2,0.5
evaluation,scene_light,scene=Industrial | light=Normal,6,6,0,2,4,0,0,4,2,6.7908898322413265,1.0,1.0,0.3333333333333333,1.0,1.0,0.0,0.0,0.48989083645459713,0.0,0.0,0.6576197724933468,2,0,0.0,2,0,0.0,2,0,0.0,2,0,0.0
evaluation,scene_light,scene=Industrial | light=Twilight,1,1,0,0,1,0,0,1,0,6.7908898322413265,,,0.0,,,0.0,0.0,0.7934506856227624,,,,0,0,,0,0,,0,0,,0,0,
evaluation,scene_light,scene=Nature | light=Normal,1,1,0,1,0,0,0,0,1,6.7908898322413265,,,1.0,,,,,,0.0,0.0,0.7934506856227624,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0
evaluation,scene_light,scene=Other | light=Normal,5,5,0,2,3,0,0,3,2,6.7908898322413265,0.16666666666666669,0.3666666666666667,0.4,0.0,0.6666666666666666,0.0,0.0,0.5614970317550454,0.0,0.0,0.6576197724933468,2,0,0.0,2,0,0.0,2,0,0.0,2,0,0.0
evaluation,scene_light,scene=Other | light=Twilight,1,1,0,1,0,0,0,0,1,6.7908898322413265,,,1.0,,,,,,0.0,0.0,0.7934506856227624,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0
evaluation,scene_light,scene=Rural | light=Dark,1,1,0,0,1,0,0,1,0,6.7908898322413265,,,0.0,,,0.0,0.0,0.7934506856227624,,,,0,0,,0,0,,0,0,,0,0,
evaluation,scene_light,scene=Rural | light=Normal,6,6,0,3,3,0,1,2,3,6.7908898322413265,0.6666666666666667,0.6388888888888888,0.5,0.0,1.0,0.3333333333333333,0.06149194472039626,0.7923403991979521,0.0,0.0,0.5614970317550454,3,0,0.0,3,0,0.0,3,0,0.0,3,0,0.0
evaluation,scene_light,scene=Sub-urban | light=Bright,1,1,0,1,0,0,0,0,1,6.7908898322413265,,,1.0,,,,,,0.0,0.0,0.7934506856227624,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0
evaluation,scene_light,scene=Sub-urban | light=Dark,5,5,0,3,2,0,0,2,3,6.7908898322413265,1.0,1.0,0.6,1.0,1.0,0.0,0.0,0.6576197724933468,0.0,0.0,0.5614970317550454,3,0,0.0,3,0,0.0,3,0,0.0,3,0,0.0
evaluation,scene_light,scene=Sub-urban | light=Normal,6,6,0,3,3,1,3,0,2,6.7908898322413265,0.22222222222222224,0.4666666666666667,0.5,0.0,0.6666666666666666,1.0,0.4385029682449546,1.0,0.3333333333333333,0.06149194472039626,0.7923403991979521,3,0,0.0,3,1,0.3333333333333333,3,1,0.3333333333333333,3,1,0.3333333333333333
evaluation,scene_light,scene=Sub-urban | light=Twilight,6,6,0,4,2,0,0,2,4,6.7908898322413265,0.25,0.6916666666666667,0.6666666666666666,0.0,0.75,0.0,0.0,0.6576197724933468,0.0,0.0,0.48989083645459713,4,0,0.0,4,0,0.0,4,0,0.0,4,0,0.0
evaluation,scene_light,scene=Urban | light=Bright,3,3,0,3,0,1,0,0,2,6.7908898322413265,,,1.0,,,,,,0.3333333333333333,0.06149194472039626,0.7923403991979521,3,1,0.3333333333333333,3,0,0.0,3,0,0.0,3,0,0.0
evaluation,scene_light,scene=Urban | light=Dark,3,3,0,1,2,0,1,1,1,6.7908898322413265,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.5,0.09453120573423074,0.9054687942657693,0.0,0.0,0.7934506856227624,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0
evaluation,scene_light,scene=Urban | light=Normal,6,6,0,3,3,1,2,1,2,6.7908898322413265,0.4444444444444445,0.5333333333333333,0.5,0.0,1.0,0.6666666666666666,0.20765960080204776,0.9385080552796037,0.3333333333333333,0.06149194472039626,0.7923403991979521,3,1,0.3333333333333333,3,1,0.3333333333333333,3,1,0.3333333333333333,3,1,0.3333333333333333
evaluation,scene_light,scene=Urban | light=Twilight,6,6,0,2,4,0,0,4,2,6.7908898322413265,0.25,0.325,0.3333333333333333,0.0,0.75,0.0,0.0,0.48989083645459713,0.0,0.0,0.6576197724933468,2,0,0.0,2,0,0.0,2,0,0.0,2,0,0.0
validation,all,All clips,20,20,0,10,10,2,1,9,8,6.7908898322413265,0.6,0.6317759528053645,0.5,0.34,0.84,0.1,0.01787621309507295,0.40415002679523837,0.2,0.056682151454375274,0.5098375284633582,10,1,0.1,10,1,0.1,10,1,0.1,10,1,0.1
validation,scene,scene=Highway,5,5,0,3,2,1,0,2,2,6.7908898322413265,0.8333333333333333,0.9166666666666665,0.6,0.3333333333333333,1.0,0.0,0.0,0.6576197724933468,0.3333333333333333,0.06149194472039626,0.7923403991979521,3,0,0.0,3,1,0.3333333333333333,3,1,0.3333333333333333,3,1,0.3333333333333333
validation,scene,scene=Industrial,1,1,0,1,0,1,0,0,0,6.7908898322413265,,,1.0,,,,,,1.0,0.2065493143772375,1.0,1,1,1.0,1,0,0.0,1,0,0.0,1,0,0.0
validation,scene,scene=Other,3,3,0,2,1,0,0,1,2,6.7908898322413265,1.0,1.0,0.6666666666666666,1.0,1.0,0.0,0.0,0.7934506856227624,0.0,0.0,0.6576197724933468,2,0,0.0,2,0,0.0,2,0,0.0,2,0,0.0
validation,scene,scene=Sub-urban,6,6,0,1,5,0,1,4,1,6.7908898322413265,0.6,0.3333333333333333,0.16666666666666666,0.2,1.0,0.2,0.036224108632430196,0.6244653702374746,0.0,0.0,0.7934506856227624,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0
validation,scene,scene=Urban,5,5,0,3,2,0,0,2,3,6.7908898322413265,0.3333333333333333,0.5888888888888889,0.6,0.0,1.0,0.0,0.0,0.6576197724933468,0.0,0.0,0.5614970317550454,3,0,0.0,3,0,0.0,3,0,0.0,3,0,0.0
validation,light,light=Bright,2,2,0,1,1,1,0,1,0,6.7908898322413265,1.0,1.0,0.5,1.0,1.0,0.0,0.0,0.7934506856227624,1.0,0.2065493143772375,1.0,1,0,0.0,1,1,1.0,1,1,1.0,1,1,1.0
validation,light,light=Dark,7,7,0,3,4,0,0,4,3,6.7908898322413265,0.3333333333333333,0.41111111111111115,0.42857142857142855,0.0,0.8333333333333334,0.0,0.0,0.48989083645459713,0.0,0.0,0.5614970317550454,3,0,0.0,3,0,0.0,3,0,0.0,3,0,0.0
